,label,x,y
0,bed,"[ 3  1  6 ..., -1 -3  4]",0
1,bed,"[-109 -149 -144 ..., -118 -116 -157]",0
2,bed,"[ -82  -69  -57 ...,  -99 -109 -103]",0
3,bed,"[ -8 -11 -11 ...,  13  10  16]",0
4,bed,"[-12 -15 -15 ...,  30  16  22]",0
5,bed,"[218 239 212 ..., 256 232 226]",0
6,bed,"[269 327 377 ..., 399 399 361]",0
7,bed,"[-3 -5 -4 ..., -5 -3 -4]",0
8,bed,"[ 2  1  0 ..., 36 28 29]",0
9,bed,"[-1 -1 -1 ...,  2  0  2]",0
10,bed,"[-235 -396 -390 ...,  233  323  216]",0
11,bed,"[-127 -193 -171 ...,  245  241  219]",0
12,bed,"[-171 -281 -203 ...,   77   52   64]",0
13,bed,"[-1 -1 -2 ...,  5  3  2]",0
14,bed,"[  76 -192 -231 ..., -725 -998 -750]",0
15,bed,"[512 994 686 ..., 176 172 -97]",0
16,bed,"[ 0  1  7 ...,  9 16 10]",0
17,bed,"[245 410 349 ...,  31  41  58]",0
18,bed,"[-17 -36  10 ..., 567 532 565]",0
19,bed,"[-15  -8 -19 ...,  14  21  41]",0
20,bed,"[  96 -122 -214 ...,  157  132  121]",0
21,bed,"[-2  7  6 ..., 45 66 66]",0
22,bed,"[ 12  28  46 ..., -13  -5   0]",0
23,bed,"[ -73 -161 -100 ...,  -78  -70  -98]",0
24,bed,"[ -9 -10  -8 ...,  40  32 -13]",0
25,bed,"[ -2   3   3 ..., -15 -16  -7]",0
26,bed,"[ 44  55  67 ..., -54 -72 -93]",0
27,bed,"[ 8  7  7 ...,  9 10  9]",0
28,bed,"[ 0  0 -2 ..., -1  3  3]",0
29,bed,"[ 282  436  389 ..., -185    5  -12]",0
30,bed,"[1517 1572 1557 ..., 1543 1626 1522]",0
31,bed,"[-214 -272 -223 ...,  169  203  211]",0
32,bed,"[ 2488  3817  3338 ..., -1841 -1991 -1802]",0
33,bed,"[-122  147  139 ..., -450 -220 -171]",0
34,bed,"[ 224  287  317 ..., -259 -254 -247]",0
35,bed,"[225 282 347 ..., 386 290 250]",0
36,bed,"[815 835 865 ..., 769 772 872]",0
37,bed,"[ 31  66 102 ...,  44  47  50]",0
38,bed,"[-106 -175 -154 ...,  -33  -28  -49]",0
39,bed,"[ 4 17 20 ..., 13 24 35]",0
40,bed,"[73 85 91 ..., 95 92 88]",0
41,bed,"[  27   16  -61 ...,   -3  -82 -214]",0
42,bed,"[  28  -76 -122 ...,   17  137   70]",0
43,bed,"[ -49  -43 -107 ...,   92  139  131]",0
44,bed,"[0 1 1 ..., 0 1 1]",0
45,bed,"[ 0  1  0 ..., -1  0  2]",0
46,bed,"[ 79 112 142 ..., -87 -76 -89]",0
47,bed,"[ -43  -34  -33 ..., -104  -93  -84]",0
48,bed,"[-28 -27 -60 ...,  67  64  52]",0
49,bed,"[  4  55  57 ..., -31 -19 -37]",0
50,bed,"[ -1 -22 -29 ..., -22 -18 -18]",0
51,bed,"[ -15  -24  -21 ..., -113 -111  -98]",0
52,bed,"[ 6 11 15 ...,  7 12 11]",0
53,bed,"[-5 -6 -9 ...,  2  4 -4]",0
54,bed,"[ 12 -29 -50 ...,   7  51 -27]",0
55,bed,"[-125  143   12 ...,   53  -87 -203]",0
56,bed,"[ 41  74  87 ...,  95 102 102]",0
57,bed,"[166 259 217 ..., -66 -65 -49]",0
58,bed,"[  15   50  -23 ..., -227 -209  -99]",0
59,bed,"[-116 -141 -132 ...,  108   73   99]",0
60,bed,"[  7  18  41 ..., -13 -25 -28]",0
61,bed,"[-8 -1  2 ..., -6 16 15]",0
62,bed,"[244 300 536 ..., 947 934 797]",0
63,bed,"[131 244 143 ..., 126  87 171]",0
64,bed,"[115 223 216 ..., 237 199 253]",0
65,bed,"[-23 -48 -30 ..., -37 -44 -49]",0
66,bed,"[ -40    5  -14 ..., -129 -123  -93]",0
67,bed,"[ 46  59  40 ...,  18  10 -17]",0
68,bed,"[ 47  49  63 ..., -55 -46 -49]",0
69,bed,"[20 34 28 ..., 66 56 48]",0
70,bed,"[ -3  11  19 ..., -11 -20 -14]",0
71,bed,"[36 57 34 ..., 38 94 92]",0
72,bed,"[-1 -1  2 ...,  2  2  2]",0
73,bed,"[-121 -112 -104 ..., -175 -167 -168]",0
74,bed,"[ 0 -1 -3 ..., -6 -3 -1]",0
75,bed,"[  5   7   7 ..., -16 -12 -11]",0
76,bed,"[ 51  52  54 ...,  68  76 108]",0
77,bed,"[ 35  48  53 ..., -50 -51 -70]",0
78,bed,"[-289 -331 -357 ..., -292 -277 -288]",0
79,bed,"[ 1 12 20 ..., 17 16 20]",0
80,bed,"[  2  16  37 ..., -33 -23 -15]",0
81,bed,"[   2    4    4 ..., -319  209  194]",0
82,bed,"[ 466 2083  386 ..., -708 -714 -726]",0
83,bed,"[-111 -237 -381 ...,  -83  -34   48]",0
84,bed,"[-136 -225 -148 ...,  -16  -17    0]",0
85,bed,"[ 16  26  18 ..., -38 -48 -36]",0
86,bed,"[ 0  0  0 ..., -7 -5 -6]",0
